Source Name	Characteristics[specimen type]	Characteristics[barcode identifier]	Characteristics[internal_ID]	Characteristics[resolute_ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[qc element]	Protocol REF	Date	Sample Name	Characteristics[material type]	Term Source REF	Term Accession Number	Factor Value[cell seeding density]	Factor Value[replicate number]	Factor Value[extraction volume]	Unit
102036	specimen	1024502796	102036.0	SM01Z9-B	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	LS180	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0397	not applicable	sample collection		102036	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	750.0	µl
102057	specimen	1024503001	102057.0	SM01Z3-R	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102057	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	750.0	µl
p180_QC1	positive control	1020164621			not applicable				cellosaurus		EDTA plasma	sample collection	2017-04-12	p180_QC1	not applicable						µl
102928_M8	specimen	1024506721	102928.0	SM020C-B	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-468 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0419	not applicable	sample collection		102928_M8	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	1500.0	µl
102050	specimen	1024502932	102050.0	SM01XV-S	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102050	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	750.0	µl
102051	specimen	1024502947	102051.0	SM01XW-9	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102051	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	1.0	750.0	µl
102904_J2	specimen	1024506482	102904.0	SM01ZH-4	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102904_J2	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	1500.0	µl
PBS	negative control	11000002			not applicable				cellosaurus		water based zero samples	sample collection	2008-10-24	PBS	not applicable						µl
102918_S7	specimen	1024506629	102918.0	SM0202-N	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102918_S7	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	1.0	1500.0	µl
102911_J9	specimen	1024506551	102911.0	SM01ZT-3	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	JumpIn	cellosaurus		not applicable	sample collection		102911_J9	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	3.0	1500.0	µl
102939_TD000232_1	specimen	1024506856			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102939_TD000232_1	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977				µl
102042	specimen	1024502850	102042.0	SM01XH-A	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-116	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0291	not applicable	sample collection		102042	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	1.0	750.0	µl
102054	specimen	1024502971	102054.0	SM01Z0-H	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102054	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	750.0	µl
102027	specimen	1024502705			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102027	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423				µl
102053	specimen	1024502966	102053.0	SM01XZ-N	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102053	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	3.0	750.0	µl
102935_N6	specimen	1024506792	102935.0	SM020N-4	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102935_N6	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	1500.0	µl
102052	specimen	1024502951	102052.0	SM01XX-V	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102052	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	750.0	µl
102056	specimen	1024502990	102056.0	SM01Z2-P	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102056	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	750.0	µl
102058	specimen	1024503016	102058.0	SM01Z4-C	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	Huh-7	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0336	not applicable	sample collection		102058	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	1000000.0	2.0	750.0	µl
102917_S6	specimen	1024506614	102917.0	SM0201-V	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102917_S6	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	3.0	1500.0	µl
102941_TD000232_3	specimen	1024506875			Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606		cellosaurus		not applicable	sample collection		102941_TD000232_3	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977				µl
102915_S4	specimen	1024506599	102915.0	SM01ZZ-S	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MEL-28	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0526	not applicable	sample collection		102915_S4	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	1.0	1500.0	µl
102934_N5	specimen	1024506788	102934.0	SM020M-2	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102934_N5	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	500000.0	2.0	1500.0	µl
p180-UHPLC Cal4	positive control	437331			not applicable				cellosaurus		calibrators	sample collection	2012-10-16	p180-UHPLC Cal4	not applicable						µl
102931_N2	specimen	1024506754	102931.0	SM020G-U	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	1321N1 	cellosaurus	 https://web.expasy.org/cellosaurus/CVCL_0110	not applicable	sample collection		102931_N2	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	250000.0	2.0	1500.0	µl
