Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	
	"Kinetex HILIC 100 Å (2.6 µm, 2.1 mm x 150 mm; Phenomenex)"	HILIC	
	"Kinetex HILIC 100 Å (2.6 µm, 3 mm x 150 mm; Phenomenex)"	HILIC	
	"Kinetex XB-C18 100 Å (1.7 µm, 2.1 mm x 150 mm; Phenomenex)"	reverse phase	
	"LiChrospher RP-18 (3 µm, 2.1 mm x 150 mm; Agilent Technologies)"	reverse phase	
	"Luna (2 µm, 2 mm x 150 mm; Phenomenex)"	reverse phase	
	"Luna C5 100 Å (5 µm, 4.6 mm x 50 mm; Phenomenex)"	reverse phase	
	"Luna NH2 100 Å (3 µm, 2 mm x 150 mm; Phenomenex)"	HILIC	
	MonoBis Capillary Column (0.1 mm x 2 m; Kyoto Monotech)	reverse phase	
	"NUCLEODUR C18 Gravity (1.8 µm, 2.1 mm x 50 mm; Macherey-Nagel)"	reverse phase	
	"NUCLEODUR C18 Isis (1.8 µm, 2 mm x 100 mm; HiChrom)"	reverse phase	
	"NUCLEODUR HILIC (1.8 µm, 2 mm x 150 mm; Macherey-Nagel)"	HILIC	
	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	reverse phase	
	"Polaris C18 (1.8 µm, 2.1 mm x 250 mm; Agilent Technologies)"	reverse phase	
	"Poroshell 120 EC-C8 (2.7 µm, 2.1 mm x 50 mm; Agilent Technologies)"	reverse phase	
	"Poroshell 120 EC-C18 (2.7 µm, 3 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"PRP-X110S (7 µm, 2.1 mm x 100 mm; Hamilton)"	reverse phase	
	"ReproSil-Pur Basic-C18 (2.4 µm, 0.5 mm x 150 mm; Dr. Maisch)"	reverse phase	
	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	
	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	reverse phase	
	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	reverse phase	
	"Synergi Hydro-RP 100 Å (2.5 µm, 2 mm x 100 mm; Phenomenex)"	reverse phase	
	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	reverse phase	
	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	reverse phase	
	"TARGA C18 (5 µm, 2.1mm x 100 mm; Higgins Analytical)"	reverse phase	
	"TSKgel ODS-100V 100 Å (5 µm, 3 mm x 50 mm; Tosoh Bioscience)"	reverse phase	
	VisionHT C18-HL (1.5 µm. 2 mm x 150 mm; Alltech Grom)	reverse phase	
	"XAqua C18 (5 µm, 2.1 x 150 mm; Acchrom)"	reverse phase	
	"XBridge BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	
	"XBridge BEH C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	reverse phase	
	"XBridge BEH Amide XP (2.5 µm, 2.1 mm x 50 mm; Waters)"	HILIC	
	"XBridge BEH Amide XP (2.5 µm, 2.1 mm x 100 mm; Waters)"	HILIC	
	"XBridge BEH HILIC (5 µm, 4.6 mm x 150 mm; Waters)"	HILIC	
	"XSelect HSS T3 (2.5 µm, 3.0 mm x 150 mm length; Waters)"	reverse phase	
	"ZIC-HILIC (3.5 µm, 2.1 mm x 100 mm; Merck Sequant)"	HILIC	
	"ZIC-HILIC 100 Å (3.5 µm, 2.1 mm x 150 mm; Merck Sequant)"	HILIC	
	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	HILIC	
	"ZIC-HILIC (5 µm, 2.1 mm x 100 mm; Merck Sequant)"	HILIC	
	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	HILIC	
	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Canadian LifeScience)"	HILIC	
	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; HiChrom)"	HILIC	
	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	HILIC	
	"ZORBAX C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX C18 (5 µm, 0.5 mm x 150 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse Plus C18 (1.8 µm, 2.1 mm x 50 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse Plus C18 (1.8 µm, 3 mm x 150 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse Plus C18 (3.5 µm, 4.6 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Eclipse XDB C18 (5 µm, 4.6 mm x 250 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX Extend-C18 (3.5 µm, 2.1 mm x 50 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX RRHD SB-C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"ZORBAX RRHT Extend-C18 (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)"	reverse phase	
	"HSS T3 (1.8 µm, 0.15 mm x 260 mm; In-house)"	reverse phase	
