Source Name	Characteristics[barcode identifier]	Characteristics[material role]	Characteristics[chemical compound]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Date	Sample Name	Material Type	
102917_S6	1024506614	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102917_S6	specimen
102941_TD000232_3	1024506875	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	serum	UBERON	http://purl.obolibrary.org/obo/UBERON_0001977	sample collection		102941_TD000232_3	specimen
102915_S4	1024506599	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102915_S4	specimen
102934_N5	1024506788	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102934_N5	specimen
p180-UHPLC Cal4	437331	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal4	positive control
102931_N2	1024506754	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102931_N2	specimen
102045	1024502883	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102045	specimen
102043	1024502864	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102043	specimen
p180-UHPLC Cal2	437314	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal2	positive control
102025	1024502680	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102025	specimen
102921_M1	1024506652	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102921_M1	specimen
p180-UHPLC Cal5	437345	positive control	calibrators	not applicable			not applicable			sample collection	2012-10-16	p180-UHPLC Cal5	positive control
102914_S3	1024506584	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102914_S3	specimen
102922_M2	1024506667	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102922_M2	specimen
p180_QC2	1020164635	positive control	EDTA plasma	not applicable			not applicable			sample collection	2017-04-25	p180_QC2	positive control
102924_M4	1024506686	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102924_M4	specimen
102919_S8	1024506633	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102919_S8	specimen
102929_M9	1024506735	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102929_M9	specimen
102925_M5	1024506691	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102925_M5	specimen
102046	1024502898	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102046	specimen
102038	1024502811	specimen	not applicable	Homo sapiens	NCBITax	http://purl.obolibrary.org/obo/NCBITaxon_9606	extract	OBI	http://purl.obolibrary.org/obo/OBI_0000423	sample collection		102038	specimen
